student_id,S_пос,S_пос_взв,S_опр,S_опр_взв,S_док,S_док_взв,S_лаб,S_лаб_взв,ЛР_сдано,ЛР_всего,Рейтинг_сумма,Проект_raw,Проект,Бонус_проект,Рейтинг_итог,Блок,Причина_блока,Зачёт
1,2.94,0.44,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.56,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
2,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
3,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
4,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
5,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
6,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
7,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
8,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
9,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
10,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
11,2.94,0.44,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.56,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
12,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
13,2.94,0.44,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.56,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
14,2.94,0.44,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.56,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
15,5.88,0.88,0.0,0.0,0.0,0.0,-50.0,-30.0,0,11,-29.12,nan,НЕТ,0,0.0,ДА,не сданы все ЛР; S_лаб=-50.00 < 50,НЕТ
